ID;INVOICENO;DATE_;CUSTOMERID;NAMESURNAME;CUSTOMERGENDER;CUSTOMERBIRTHDATE;ITEMCODE;ITEMNAME;UNITPRICE;BRAND;CATEGORY1;CATEGORY2;CATEGORY3;AMOUNT;PRICE;TOTALPRICE;REGION;CITY;TOWN;DISTRICT;ADDRESSTEXT;BARCODEDATE;INVOICEDATE
13;02122022-000002;2022-12-02 08:52:27.247;4218;Mert İnceoğlu;E;1985-03-30;000308;SUCUK KANGAL 250GR.;103,2;MARKA-167;ET TAVUK;ET ŞARKÜTERİ;SUCUK;4;154,71;618,84;Karadeniz;Amasya;SULUOVA;MAARİF MAH.;MAARİF MAH.HİSAR SOKAK NO:307 80738 SULUOVA/AMASYA;2022-12-02 08:53:14.600;2022-12-02 08:53:45.773
14;02122022-000002;2022-12-02 08:52:27.247;4218;Mert İnceoğlu;E;1985-03-30;001136;PASPAS YEDEK;76;MARKA-215;DETERJAN TEMİZLİK;EV TEMİZLİK GEREÇLERİ;TEMİZLİK SETİ;3;65,32;195,96;Karadeniz;Amasya;SULUOVA;MAARİF MAH.;MAARİF MAH.HİSAR SOKAK NO:307 80738 SULUOVA/AMASYA;2022-12-02 08:53:17.117;2022-12-02 08:53:45.773
15;02122022-000002;2022-12-02 08:52:27.247;4218;Mert İnceoğlu;E;1985-03-30;000995;SPORT EDT &AFTER SHAVE BALM 225 ML;260;MARKA-105;KOZMETİK;PARFÜM DEODORANT;PARFÜM;2;285,99;571,98;Karadeniz;Amasya;SULUOVA;MAARİF MAH.;MAARİF MAH.HİSAR SOKAK NO:307 80738 SULUOVA/AMASYA;2022-12-02 08:53:31.420;2022-12-02 08:53:45.773
16;01082022-000003;2022-08-01 08:50:44.360;2306;Cemile Tunalı;K;1956-05-09;000906;TAVA 26 CM KARNIYARIK;439,6;MARKA-144;EV;MUTFAK EŞYA GEREÇLERİ;METAL EL ALETLERİ;3;578,33;1734,99;Akdeniz;Hatay;HATAY MERKEZ;KÜÇÜKDALYAN-İSTİKLAL MAH.;KÜÇÜKDALYAN-İSTİKLAL MAH.KADİFE SOKAK NO:368 126585 HATAY MERKEZ/HATAY;2022-08-01 08:51:06.593;2022-08-01 08:52:00.380
17;01082022-000003;2022-08-01 08:50:44.360;2306;Cemile Tunalı;K;1956-05-09;000992;8 W=42 W 475 LM ÇOOL DAYLIGHT;52;MARKA-166;EV;ELEKTRONİK;AYDINLATMA;1;66;66;Akdeniz;Hatay;HATAY MERKEZ;KÜÇÜKDALYAN-İSTİKLAL MAH.;KÜÇÜKDALYAN-İSTİKLAL MAH.KADİFE SOKAK NO:368 126585 HATAY MERKEZ/HATAY;2022-08-01 08:51:09.377;2022-08-01 08:52:00.380
18;01082022-000003;2022-08-01 08:50:44.360;2306;Cemile Tunalı;K;1956-05-09;000586;ÇİĞ KÖFTELİK BULGUR 1KG;18,8;MARKA-35;GIDA;BAKLİYAT-MAKARNA;PAKET BAKLİYAT;1;18,88;18,88;Akdeniz;Hatay;HATAY MERKEZ;KÜÇÜKDALYAN-İSTİKLAL MAH.;KÜÇÜKDALYAN-İSTİKLAL MAH.KADİFE SOKAK NO:368 126585 HATAY MERKEZ/HATAY;2022-08-01 08:51:11.510;2022-08-01 08:52:00.380
19;01082022-000003;2022-08-01 08:50:44.360;2306;Cemile Tunalı;K;1956-05-09;000920;CEVİZLİ BİBER EZMESİ 200 GR ACILI;42;MARKA-161;GIDA;HAZIR YEMEKLER;HAZIR YEMEK;1;40,21;40,21;Akdeniz;Hatay;HATAY MERKEZ;KÜÇÜKDALYAN-İSTİKLAL MAH.;KÜÇÜKDALYAN-İSTİKLAL MAH.KADİFE SOKAK NO:368 126585 HATAY MERKEZ/HATAY;2022-08-01 08:51:16.440;2022-08-01 08:52:00.380
20;01082022-000003;2022-08-01 08:50:44.360;2306;Cemile Tunalı;K;1956-05-09;000879;500 ML YEDEK BED.;42;MARKA-145;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;CAM PARLAK YÜZEY;3;49,31;147,93;Akdeniz;Hatay;HATAY MERKEZ;KÜÇÜKDALYAN-İSTİKLAL MAH.;KÜÇÜKDALYAN-İSTİKLAL MAH.KADİFE SOKAK NO:368 126585 HATAY MERKEZ/HATAY;2022-08-01 08:51:22.133;2022-08-01 08:52:00.380
21;01082022-000003;2022-08-01 08:50:44.360;2306;Cemile Tunalı;K;1956-05-09;000560;PLASTİK MASA ÖRTÜSÜ 135*180CM OVAL;79,2;MARKA-198;EV;EV TEKSTİL;MUTFAK;1;75,15;75,15;Akdeniz;Hatay;HATAY MERKEZ;KÜÇÜKDALYAN-İSTİKLAL MAH.;KÜÇÜKDALYAN-İSTİKLAL MAH.KADİFE SOKAK NO:368 126585 HATAY MERKEZ/HATAY;2022-08-01 08:51:23.643;2022-08-01 08:52:00.380
22;01082022-000003;2022-08-01 08:50:44.360;2306;Cemile Tunalı;K;1956-05-09;001268;SÜT TOZU 5 GR;2;MARKA-147;İÇECEK;ÇAY KAHVE;SÜTTOZU KREMA;4;2,84;11,36;Akdeniz;Hatay;HATAY MERKEZ;KÜÇÜKDALYAN-İSTİKLAL MAH.;KÜÇÜKDALYAN-İSTİKLAL MAH.KADİFE SOKAK NO:368 126585 HATAY MERKEZ/HATAY;2022-08-01 08:51:35.487;2022-08-01 08:52:00.380
23;01082022-000003;2022-08-01 08:50:44.360;2306;Cemile Tunalı;K;1956-05-09;000713;ODA KOKUSU LAVENDER YEDEK;55,6;MARKA-07;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;ODA KOKULARI;3;69,1;207,3;Akdeniz;Hatay;HATAY MERKEZ;KÜÇÜKDALYAN-İSTİKLAL MAH.;KÜÇÜKDALYAN-İSTİKLAL MAH.KADİFE SOKAK NO:368 126585 HATAY MERKEZ/HATAY;2022-08-01 08:51:38.263;2022-08-01 08:52:00.380
24;27122022-000004;2022-12-27 08:47:08.280;2532;"Zeynep Sümer ";K;1955-06-06;001082;COLA 1LT;14;MARKA-210;İÇECEK;GAZLI İÇECEK;COLA;1;23,86;23,86;Güneydoğu Anadolu;Diyarbakır;YENİŞEHİR;AZİZİYE MAH.;AZİZİYE MAH.605. SOKAK NO:664 118989 YENİŞEHİR/DİYARBAKIR;2022-12-27 08:47:24.033;2022-12-27 08:48:00.953
25;27122022-000004;2022-12-27 08:47:08.280;2532;"Zeynep Sümer ";K;1955-06-06;001180;TRAŞ SONRASI 50ML KREM;44;MARKA-15;KOZMETİK;TRAŞ MALZEMELERİ;TRAŞ SONRASI ÜRÜNLER;4;38,93;155,72;Güneydoğu Anadolu;Diyarbakır;YENİŞEHİR;AZİZİYE MAH.;AZİZİYE MAH.605. SOKAK NO:664 118989 YENİŞEHİR/DİYARBAKIR;2022-12-27 08:47:31.417;2022-12-27 08:48:00.953
26;27122022-000004;2022-12-27 08:47:08.280;2532;"Zeynep Sümer ";K;1955-06-06;001083;GAZOZ 250 ML PORTAKAL;8;MARKA-210;İÇECEK;GAZLI İÇECEK;GAZOZ;4;7,17;28,68;Güneydoğu Anadolu;Diyarbakır;YENİŞEHİR;AZİZİYE MAH.;AZİZİYE MAH.605. SOKAK NO:664 118989 YENİŞEHİR/DİYARBAKIR;2022-12-27 08:47:34.877;2022-12-27 08:48:00.953
27;27122022-000004;2022-12-27 08:47:08.280;2532;"Zeynep Sümer ";K;1955-06-06;000588;KIRMIZI MERCİMEK 1KG;30,8;MARKA-35;GIDA;BAKLİYAT-MAKARNA;PAKET BAKLİYAT;3;24,61;73,83;Güneydoğu Anadolu;Diyarbakır;YENİŞEHİR;AZİZİYE MAH.;AZİZİYE MAH.605. SOKAK NO:664 118989 YENİŞEHİR/DİYARBAKIR;2022-12-27 08:47:46.180;2022-12-27 08:48:00.953
28;26042022-000005;2022-04-26 08:47:59.297;8387;Berra Çataklı;K;1966-02-07;000543;ÇELİK SÜNGER;42;MARKA-215;DETERJAN TEMİZLİK;EV TEMİZLİK GEREÇLERİ;TEMİZLİK AMAÇLI BEZLER;3;42,3;126,9;Karadeniz;Çorum;KARGI;İMAMBEY MAH.;İMAMBEY MAH.MESCİT SOKAK NO:795 88156 KARGI/ÇORUM;2022-04-26 08:48:12.150;2022-04-26 08:49:11.557
29;26042022-000005;2022-04-26 08:47:59.297;8387;Berra Çataklı;K;1966-02-07;000156;İKİZ MAXİ PLUS 42 Lİ;79,2;MARKA-210;BEBEK;ÇOCUK BEZLERİ;BEZLER;1;69;69;Karadeniz;Çorum;KARGI;İMAMBEY MAH.;İMAMBEY MAH.MESCİT SOKAK NO:795 88156 KARGI/ÇORUM;2022-04-26 08:48:23.537;2022-04-26 08:49:11.557
30;26042022-000005;2022-04-26 08:47:59.297;8387;Berra Çataklı;K;1966-02-07;000268;SÜT TOZU 100 GR;19,6;MARKA-147;İÇECEK;ÇAY KAHVE;SÜTTOZU KREMA;1;21,97;21,97;Karadeniz;Çorum;KARGI;İMAMBEY MAH.;İMAMBEY MAH.MESCİT SOKAK NO:795 88156 KARGI/ÇORUM;2022-04-26 08:48:31.193;2022-04-26 08:49:11.557
31;26042022-000005;2022-04-26 08:47:59.297;8387;Berra Çataklı;K;1966-02-07;000058;SALATALIK KORNİSON TURŞUSU CAM 370GR;22,8;MARKA-200;GIDA;HAZIR YEMEKLER;TURŞU;4;19,47;77,88;Karadeniz;Çorum;KARGI;İMAMBEY MAH.;İMAMBEY MAH.MESCİT SOKAK NO:795 88156 KARGI/ÇORUM;2022-04-26 08:48:40.093;2022-04-26 08:49:11.557
32;26042022-000005;2022-04-26 08:47:59.297;8387;Berra Çataklı;K;1966-02-07;000299;YUMUŞATICI 6 LT;39,2;MARKA-03;DETERJAN TEMİZLİK;ÇAMAŞIR YIKAMA;ÇAMAŞIR YUMUŞATICI;1;41,53;41,53;Karadeniz;Çorum;KARGI;İMAMBEY MAH.;İMAMBEY MAH.MESCİT SOKAK NO:795 88156 KARGI/ÇORUM;2022-04-26 08:48:47.900;2022-04-26 08:49:11.557
33;12042022-000006;2022-04-12 08:43:10.313;8576;Fikriye Karakaş;K;1989-05-14;001022;DERMASON KÜÇÜK;55,6;MARKA-19;GIDA;BAKLİYAT-MAKARNA;AÇIK BAKLİYAT;3;58,91;176,73;İç Anadolu;Kayseri;DEVELİ;ZİLE-FATİH MAH.;ZİLE-FATİH MAH.MUSTAFA GÜÇLÜ SOKAK NO:714 99207 DEVELİ/KAYSERİ;2022-04-12 08:43:27.020;2022-04-12 08:43:32.677
34;24072022-000007;2022-07-24 08:44:10.327;3137;Nazar Çekmez;K;1972-12-31;000368;SÜPER EKONOMİK SET;87,2;MARKA-169;DETERJAN TEMİZLİK;BULAŞIK YIKAMA;MAKİNE;2;69,34;138,68;Karadeniz;Trabzon;TRABZON MERKEZ;2 NOLU ERDOĞDU MAH.;2 NOLU BEŞİRLİ MAH.920 NOLU SOKAK NO:420 111851 TRABZON MERKEZ/TRABZON;2022-07-24 08:44:21.060;2022-07-24 08:44:39.603
35;01052022-000008;2022-05-01 08:49:04.390;6479;Gülşah Karslıoğlu;K;1970-03-17;000271;KAHVE  BOL KAHVE TADI 18 GR;2,8;MARKA-147;İÇECEK;ÇAY KAHVE;KAHVE;3;3,75;11,25;Doğu Anadolu;Ağrı;DOĞUBAYAZIT;BARIŞ MAH.;BARIŞ MAH.ÇİFTLİK ( 707) SOKAK NO:656 80144 DOĞUBAYAZIT/AĞRI;2022-05-01 08:49:19.957;2022-05-01 08:50:27.820
36;01052022-000008;2022-05-01 08:49:04.390;6479;Gülşah Karslıoğlu;K;1970-03-17;000708;SIVI EL SABUNU 2 KG CREAM;40;MARKA-83;KOZMETİK;DUŞ BANYO;SIVI JEL SABUNLAR;1;46,51;46,51;Doğu Anadolu;Ağrı;DOĞUBAYAZIT;BARIŞ MAH.;BARIŞ MAH.ÇİFTLİK ( 707) SOKAK NO:656 80144 DOĞUBAYAZIT/AĞRI;2022-05-01 08:49:32.333;2022-05-01 08:50:27.820
37;01052022-000008;2022-05-01 08:49:04.390;6479;Gülşah Karslıoğlu;K;1970-03-17;000997;RENKLİ 4 LT COLOR;103,6;MARKA-165;DETERJAN TEMİZLİK;ÇAMAŞIR YIKAMA;ÇAMAŞIR RENK KORUYUCU;4;142,82;571,28;Doğu Anadolu;Ağrı;DOĞUBAYAZIT;BARIŞ MAH.;BARIŞ MAH.ÇİFTLİK ( 707) SOKAK NO:656 80144 DOĞUBAYAZIT/AĞRI;2022-05-01 08:49:36.423;2022-05-01 08:50:27.820
38;01052022-000008;2022-05-01 08:49:04.390;6479;Gülşah Karslıoğlu;K;1970-03-17;001265;SALGAM SUYU 330 ML SADE;7,2;MARKA-66;İÇECEK;GAZSIZ İÇECEK;ŞALGAM SUYU;4;10,3;41,2;Doğu Anadolu;Ağrı;DOĞUBAYAZIT;BARIŞ MAH.;BARIŞ MAH.ÇİFTLİK ( 707) SOKAK NO:656 80144 DOĞUBAYAZIT/AĞRI;2022-05-01 08:49:46.373;2022-05-01 08:50:27.820
39;01052022-000008;2022-05-01 08:49:04.390;6479;Gülşah Karslıoğlu;K;1970-03-17;000223;DOMATESLİ BİBER SALÇASI TATLI 560 GR;39,92;MARKA-197;GIDA;HAZIR YEMEKLER;SALÇA;1;60,11;60,11;Doğu Anadolu;Ağrı;DOĞUBAYAZIT;BARIŞ MAH.;BARIŞ MAH.ÇİFTLİK ( 707) SOKAK NO:656 80144 DOĞUBAYAZIT/AĞRI;2022-05-01 08:50:00.213;2022-05-01 08:50:27.820
40;01052022-000008;2022-05-01 08:49:04.390;6479;Gülşah Karslıoğlu;K;1970-03-17;000811;200ML MUZLU SÜT;7,6;MARKA-108;SÜT KAHVALTILIK;SÜT;MEYVELİ SÜT;2;7,8;15,6;Doğu Anadolu;Ağrı;DOĞUBAYAZIT;BARIŞ MAH.;BARIŞ MAH.ÇİFTLİK ( 707) SOKAK NO:656 80144 DOĞUBAYAZIT/AĞRI;2022-05-01 08:50:03.170;2022-05-01 08:50:27.820
41;01052022-000008;2022-05-01 08:49:04.390;6479;Gülşah Karslıoğlu;K;1970-03-17;000355;BURGER DİLİMLİ 350 GR;94;MARKA-167;SÜT KAHVALTILIK;PEYNİR;ÖZEL-KREM PEYNİR;3;110,36;331,08;Doğu Anadolu;Ağrı;DOĞUBAYAZIT;BARIŞ MAH.;BARIŞ MAH.ÇİFTLİK ( 707) SOKAK NO:656 80144 DOĞUBAYAZIT/AĞRI;2022-05-01 08:50:09.537;2022-05-01 08:50:27.820
42;01052022-000008;2022-05-01 08:49:04.390;6479;Gülşah Karslıoğlu;K;1970-03-17;001251;KUZU GERDAN;188;MARKA-120;ET TAVUK;KIRMIZI ET;KUZU;4;169,09;676,36;Doğu Anadolu;Ağrı;DOĞUBAYAZIT;BARIŞ MAH.;BARIŞ MAH.ÇİFTLİK ( 707) SOKAK NO:656 80144 DOĞUBAYAZIT/AĞRI;2022-05-01 08:50:12.267;2022-05-01 08:50:27.820
43;23042022-000009;2022-04-23 08:44:46.360;5995;Yaşar Özdenak;E;1992-05-19;001164;SÜTLÜ 7 TAHILLI ELMALI 250 GR;71,2;MARKA-11;BEBEK;HAZIR YEMEK MAMA;BİBERON MAMALARI;4;94,86;379,44;İç Anadolu;Ankara;NALLIHAN;ÇAYIRHAN-BARIŞ MAH.;ÇAYIRHAN-BARIŞ MAH.P.KOM.ÇVŞ.YAVUZ KIVRAK SOKAK NO:268 123834 NALLIHAN/ANKARA;2022-04-23 08:44:54.467;2022-04-23 08:45:17.087
44;23042022-000009;2022-04-23 08:44:46.360;5995;Yaşar Özdenak;E;1992-05-19;000522;TEREYAĞI  LEZZETİ  KASE  250 GR;17,6;MARKA-177;SÜT KAHVALTILIK;TEREYAĞ MARGARİN;MARGARİNLER;3;14,63;43,89;İç Anadolu;Ankara;NALLIHAN;ÇAYIRHAN-BARIŞ MAH.;ÇAYIRHAN-BARIŞ MAH.P.KOM.ÇVŞ.YAVUZ KIVRAK SOKAK NO:268 123834 NALLIHAN/ANKARA;2022-04-23 08:45:02.973;2022-04-23 08:45:17.087
45;23042022-000009;2022-04-23 08:44:46.360;5995;Yaşar Özdenak;E;1992-05-19;001308;GÜNLÜK SÜT KUTU 1 LT.;26;MARKA-180;SÜT KAHVALTILIK;SÜT;GÜNLÜK SÜT;2;31,35;62,7;İç Anadolu;Ankara;NALLIHAN;ÇAYIRHAN-BARIŞ MAH.;ÇAYIRHAN-BARIŞ MAH.P.KOM.ÇVŞ.YAVUZ KIVRAK SOKAK NO:268 123834 NALLIHAN/ANKARA;2022-04-23 08:45:05.877;2022-04-23 08:45:17.087
46;10092022-000010;2022-09-10 08:44:03.377;6697;Zerda Oduncu;K;1958-07-19;000355;BURGER DİLİMLİ 350 GR;94;MARKA-167;SÜT KAHVALTILIK;PEYNİR;ÖZEL-KREM PEYNİR;2;110,23;220,46;Marmara;Bursa;OSMANGAZİ;ŞEHABETTİNPAŞA MAH.;ŞEHABETTİNPAŞA MAH.ŞAPKACI SOKAK NO:623 86083 OSMANGAZİ/BURSA;2022-09-10 08:44:13.037;2022-09-10 08:44:42.623
47;10092022-000010;2022-09-10 08:44:03.377;6697;Zerda Oduncu;K;1958-07-19;001313;TATLI ÇATALI 6'LI;58;MARKA-154;EV;MUTFAK EŞYA GEREÇLERİ;SERVİS MALZEMELERİ;3;56,33;168,99;Marmara;Bursa;OSMANGAZİ;ŞEHABETTİNPAŞA MAH.;ŞEHABETTİNPAŞA MAH.ŞAPKACI SOKAK NO:623 86083 OSMANGAZİ/BURSA;2022-09-10 08:44:23.723;2022-09-10 08:44:42.623
48;16072022-000011;2022-07-16 08:42:14.393;7421;"Talha Erdem ";E;1955-11-08;001330;DİŞ İPİ;74;MARKA-51;KOZMETİK;AĞIZ BAKIM;AĞIZ BAKIM;4;91,6;366,4;Ege;Muğla;FETHİYE;TUZLA MAH.;TUZLA MAH.528. SOKAK NO:321 105259 FETHİYE/MUĞLA;2022-07-16 08:42:26.030;2022-07-16 08:42:49.770
49;21122022-000012;2022-12-21 08:50:36.410;4783;Bedirhan Çakmakçı;E;1973-02-11;001342;4 LT RENGARENK ULTRA LEKE ÇIKARICI;159,2;MARKA-68;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;LEKE ÇIKARICI;3;137,4;412,2;İç Anadolu;Konya;YUNAK;PİRİBEYLİ-GÜNEŞTEPE MAH.;PİRİBEYLİ-GÜNEŞTEPE MAH.ATATÜRK CADDESİ SOKAK NO:467 101610 YUNAK/KONYA;2022-12-21 08:50:40.923;2022-12-21 08:51:45.113
50;21122022-000012;2022-12-21 08:50:36.410;4783;Bedirhan Çakmakçı;E;1973-02-11;001331;KUZU PİRZOLA;239,2;MARKA-120;ET TAVUK;KIRMIZI ET;KUZU;4;261,11;1044,44;İç Anadolu;Konya;YUNAK;PİRİBEYLİ-GÜNEŞTEPE MAH.;PİRİBEYLİ-GÜNEŞTEPE MAH.ATATÜRK CADDESİ SOKAK NO:467 101610 YUNAK/KONYA;2022-12-21 08:50:49.303;2022-12-21 08:51:45.113
51;21122022-000012;2022-12-21 08:50:36.410;4783;Bedirhan Çakmakçı;E;1973-02-11;001203;SÜZME ÇİÇEK BALI 400 GR;79,2;MARKA-20;SÜT KAHVALTILIK;KAHVALTILIK;BAL;4;105,82;423,28;İç Anadolu;Konya;YUNAK;PİRİBEYLİ-GÜNEŞTEPE MAH.;PİRİBEYLİ-GÜNEŞTEPE MAH.ATATÜRK CADDESİ SOKAK NO:467 101610 YUNAK/KONYA;2022-12-21 08:50:55.337;2022-12-21 08:51:45.113
52;21122022-000012;2022-12-21 08:50:36.410;4783;Bedirhan Çakmakçı;E;1973-02-11;000936;TEREYAĞ 1 KG;191,2;MARKA-121;SÜT KAHVALTILIK;TEREYAĞ MARGARİN;TEREYAĞ;1;156,14;156,14;İç Anadolu;Konya;YUNAK;PİRİBEYLİ-GÜNEŞTEPE MAH.;PİRİBEYLİ-GÜNEŞTEPE MAH.ATATÜRK CADDESİ SOKAK NO:467 101610 YUNAK/KONYA;2022-12-21 08:51:02.603;2022-12-21 08:51:45.113
53;21122022-000012;2022-12-21 08:50:36.410;4783;Bedirhan Çakmakçı;E;1973-02-11;001080;KREM SANTİ 75 GR.SADE;11,92;MARKA-210;GIDA;UNLU MAMÜLLER;PASTA MALZEMELERİ;2;14,34;28,68;İç Anadolu;Konya;YUNAK;PİRİBEYLİ-GÜNEŞTEPE MAH.;PİRİBEYLİ-GÜNEŞTEPE MAH.ATATÜRK CADDESİ SOKAK NO:467 101610 YUNAK/KONYA;2022-12-21 08:51:16.967;2022-12-21 08:51:45.113
54;21122022-000012;2022-12-21 08:50:36.410;4783;Bedirhan Çakmakçı;E;1973-02-11;000348;BEYAZ PEYNİR 8*20GR.;35,6;MARKA-167;SÜT KAHVALTILIK;PEYNİR;BEYAZ PEYNİR;3;43,11;129,33;İç Anadolu;Konya;YUNAK;PİRİBEYLİ-GÜNEŞTEPE MAH.;PİRİBEYLİ-GÜNEŞTEPE MAH.ATATÜRK CADDESİ SOKAK NO:467 101610 YUNAK/KONYA;2022-12-21 08:51:25.603;2022-12-21 08:51:45.113
