ID;USERNAME_;PASSWORD_;NAME_;SURNAME;EMAIL;GENDER;BIRTHDATE;TELNR1;TELNR2;CITY;TOWN;DISTRICT;ADDRESSTEXT
39;"T_AKARSU ";EB7A82AEB6634DE3A2BEB05E27D6657E;Toprak;Akarsu;T_AKARSU @turkcellgy.com;E;1999-03-16;(533) 1990011;(535) 2086468;ZONGULDAK;EREĞLİ/ZONGULDAK;BELENYENİ MAH.;BELENYENİ MAH.II.KÜÇÜK SANAYİ SİTESİ C BLOK SOKAK NO:359 115204 EREĞLİ/ZONGULDAK/ZONGULDAK
40;I_TURKYILMAZ;D075E42EAD2C4F0290256BE40AC04920;İbrahim   halil;Türkyılmaz;I_TURKYILMAZ@turkcellgy.com;E;1999-01-20;(535) 1771306;(537) 1644731;BURSA;NİLÜFER;ALTIN ŞEHİR MAH.;ALTIN ŞEHİR MAH.231. SOKAK NO:534 85909 NİLÜFER/BURSA
41;B_AKAN;7CCE96DF71A94183BFD65BECF3F78972;Boran;Akan;B_AKAN@turkcellgy.com;E;1953-11-25;(530) 2315328;(533) 1868023;BURSA;OSMANGAZİ;BAĞLARBAŞI MAH.;BAĞLARBAŞI MAH.4.GÜR SOKAK NO:796 85994 OSMANGAZİ/BURSA
42;G_KILICLI;E18D2EBB9B384A1481E25053018FF864;Gülşen;Kılıçlı;G_KILICLI@turkcellgy.com;K;1956-03-16;(530) 2316500;(533) 2066271;AKSARAY;AKSARAY MERKEZ;SULTANHANI-TÜRKİSTANLILAR MAH.;SULTANHANI-TÜRKİSTANLILAR MAH.226 NOLU SOKAK NO:336 121402 AKSARAY MERKEZ/AKSARAY
43;"K_DIZDAR ";B8168312D41343FFAFDFB8D780B95DA4;Keziban;Dizdar;K_DIZDAR @turkcellgy.com;K;1959-05-04;(534) 1630343;(532) 1662231;DİYARBAKIR;DİCLE;ÇELEBİ MAH.;ÇELEBİ MAH.FEYZAN SOKAK NO:603 89520 DİCLE/DİYARBAKIR
44;"U_ONUR ";4CC9C09F7066456B9D5886C6D697E0D0;Uğur;Onur;U_ONUR @turkcellgy.com;E;1974-08-02;(531) 1703302;(532) 1934652;BURSA;GEMLİK;GENÇALİ MAH.;GENÇALİ MAH.85.(KUMSAZ) SOKAK NO:722 86223 GEMLİK/BURSA
45;"Y_SOYLU ";8609C193D80C49C2B752F8A9D263F5C9;Yağız;Soylu;Y_SOYLU @turkcellgy.com;E;1970-06-03;(531) 1705826;(530) 1808867;ŞANLIURFA;BİRECİK;SANCAK MAH.;SANCAK MAH.KADİR AĞA SOKAK NO:728 113002 BİRECİK/ŞANLIURFA
46;A_AKAN;4EFA1682304F4982BC4657751D8224B8;Adem;Akan;A_AKAN@turkcellgy.com;E;1984-12-18;(532) 2110293;(536) 2015693;AYDIN;NAZİLLİ;DUMLUPINAR MAH.;DUMLUPINAR MAH.361. SOKAK NO:490 83400 NAZİLLİ/AYDIN
47;B_CEKI;1C66FF7DB53545A5937096FB6019AAFE;Berkay;Çeki;B_CEKI@turkcellgy.com;E;1981-02-13;(534) 1865979;(535) 2154827;MUĞLA;FETHİYE;PATLANGIÇ MAH.;PATLANGIÇ MAH.334/6. SOKAK NO:479 105256 FETHİYE/MUĞLA
48;B_OZDOGAN;80D458A171D04BA58DBC83891131D6D5;Batuhan;Özdoğan;B_OZDOGAN@turkcellgy.com;E;1993-08-08;(537) 1392717;(530) 1818408;İSTANBUL;ATAŞEHİR;KAYIŞDAĞI MAH.;KAYIŞDAĞI MAH.RACİ SOKAK NO:705 119271 ATAŞEHİR/İSTANBUL
49;O_DEMIREL;BF179095895D41A48950DBD7E4D3CECF;Ömer;Demirel;O_DEMIREL@turkcellgy.com;E;1951-01-17;(537) 1610036;(534) 1585260;KÜTAHYA;EMET;HAMAM MAH.;HAMAM MAH.DERVİŞ SOKAK NO:864 101912 EMET/KÜTAHYA
50;"N_TUNCA ";26F834614B784F56AD5C79BA32823A37;Necati;Tunca;N_TUNCA @turkcellgy.com;E;1969-10-01;(531) 1513083;(534) 1143894;ADANA;POZANTI;CUMHURİYET MAH.;CUMHURİYET MAH.MAARİF CADDESİ SOKAK NO:435 78648 POZANTI/ADANA
51;E_DURMAZ;AC3F9F926B744816B3C98932E18FBB6F;Emin;Durmaz;E_DURMAZ@turkcellgy.com;E;1980-03-25;(531) 1803960;(532) 2176520;İSTANBUL;BÜYÜKÇEKMECE;ALKENT 2000 MAH.;ALKENT 2000 MAH.SERVİ SOKAK NO:479 96333 BÜYÜKÇEKMECE/İSTANBUL
52;K_SOLMAZ;65A9B3D921BE45A3A5EF59FDD93C0F18;Kardelen;Solmaz;K_SOLMAZ@turkcellgy.com;K;1952-04-18;(536) 2063854;(532) 1235331;İSTANBUL;BAKIRKÖY;ŞENLİKKÖY MAH.;ŞENLİKKÖY MAH.ŞEHİT MUAMMER YÜZSÜREN SOKAK NO:125 95689 BAKIRKÖY/İSTANBUL
53;S_ERCAN;B4E35A8B346D436FBDAB61BA33A8ED7C;Semanur;Ercan;S_ERCAN@turkcellgy.com;K;1988-06-25;(537) 2067966;(535) 1643625;ANKARA;ÇUBUK;ESENBOĞA MERKEZ MAH.;ESENBOĞA MERKEZ MAH.AYDER SOKAK NO:797 81527 ÇUBUK/ANKARA
54;"S_BOZKIR ";727478FB63FF45E6A1E447EEDBCA167F;Şükran;Bozkır;S_BOZKIR @turkcellgy.com;K;1979-07-02;(532) 1512987;(532) 1793447;TEKİRDAĞ;MARMARAEREĞLİSİ;YENİÇİFTLİK-MERKEZ MAH.;YENİÇİFTLİK-MERKEZ MAH.MENEKŞE 22 SOKAK NO:247 111025 MARMARAEREĞLİSİ/TEKİRDAĞ
55;"F_GOKSUN ";3185E230EDA24797A675BBBC199BC8F4;Fatmanur;Göksun;F_GOKSUN @turkcellgy.com;K;1992-08-31;(530) 1160259;(535) 1902901;İSTANBUL;FATİH;DERVİŞALİ MAH.;DERVİŞALİ MAH.KARİYE BOSTANI SOKAK NO:588 95871 FATİH/İSTANBUL
56;R_BUCAKLI;2F904F485ADA4087A52DE3D6AF7944D7;Rıdvan;Bucaklı;R_BUCAKLI@turkcellgy.com;E;1970-12-31;(535) 1524209;(537) 1210579;ANKARA;KEÇİÖREN;ESERTEPE MAH.;ESERTEPE MAH.303. SOKAK NO:50 81084 KEÇİÖREN/ANKARA
57;O_OGEL;2BAA624B03DE4801B60AE77C10644DFE;Ömer   halis;Ögel;O_OGEL@turkcellgy.com;E;1991-12-20;(534) 2336039;(537) 2144023;İSTANBUL;ESENYURT;AKÇABURGAZ MAH.;AKÇABURGAZ MAH.35. SOKAK NO:831 119318 ESENYURT/İSTANBUL
58;E_AYDOGDU;393CD3A091C44CC2852B9B4C6648127A;Eslem;Aydoğdu;E_AYDOGDU@turkcellgy.com;K;1961-03-09;(531) 2323453;(537) 1662144;KAHRAMANMARAŞ;PAZARCIK;CENGİZ TOPEL MAH.;CENGİZ TOPEL MAH.277. SOKAK NO:209 104482 PAZARCIK/KAHRAMANMARAŞ
59;A_DUSENKALKAR;C44D093FF7B7407AA6D946C28C5A8E5C;Amine;Düşenkalkar;A_DUSENKALKAR@turkcellgy.com;K;1992-08-13;(537) 2012828;(530) 1610116;MUĞLA;KAVAKLIDERE;YENİ MAH.;YENİ MAH.MEZARLIK CADDESİ SOKAK NO:76 105296 KAVAKLIDERE/MUĞLA
60;A_BICER;A35B9F3466E74B23A9E7B5DD3389F68C;Arya;Biçer;A_BICER@turkcellgy.com;K;1980-05-22;(535) 2210608;(533) 2040388;SİVAS;DİVRİĞİ;ÇİTME KÖYÜ;ÇİTME KÖYÜ MAH.KÖYÜN KENDİSİ SOKAK NO:420 74549 DİVRİĞİ/SİVAS
61;F_ALTINEL;7E4C1BD32F544FB7995BAE97BCB5A5A0;Fikriye;Altınel;F_ALTINEL@turkcellgy.com;K;1961-03-29;(531) 1681354;(534) 1277704;TRABZON;MAÇKA;ORMANÜSTÜ KÖYÜ;ORMANÜSTÜ KÖYÜ MAH.KANGOLOY MEZRASI SOKAK NO:715 112329 MAÇKA/TRABZON
62;H_KAPANLI;859F7D3E04F54CB6A6214DB030BCADC5;Hacer;Kapanlı;H_KAPANLI@turkcellgy.com;K;1979-01-09;(530) 2103132;(533) 2200939;NEVŞEHİR;AVANOS;MAHMAT-ORTA MAH.;MAHMAT-ORTA MAH.ÖĞRT.SÜLEYMAN DEMİR SOKAK NO:530 124238 AVANOS/NEVŞEHİR
63;S_GORGULU;70EFC508607247A9AB5D8A06CAFA123C;Sibel;Görgülü;S_GORGULU@turkcellgy.com;K;1969-07-30;(535) 2268846;(535) 2017769;ELAZIĞ;KARAKOÇAN;TEPE MAH.;TEPE MAH.ÖZGÜR SOKAK NO:236 90335 KARAKOÇAN/ELAZIĞ
64;E_KANER;A8A77FEFA73E458C811FA57E2B043461;Ege;Kaner;E_KANER@turkcellgy.com;E;1969-09-13;(531) 1883969;(530) 1456472;İSTANBUL;BEYLİKDÜZÜ;GÜRPINAR MAH.;GÜRPINAR MAH.ARI SOKAK NO:288 119296 BEYLİKDÜZÜ/İSTANBUL
65;E_AKKURT;140008AA55BE41749922A5A7A67D66C5;Erdal;Akkurt;E_AKKURT@turkcellgy.com;E;1963-05-13;(534) 2283646;(532) 1994274;İSTANBUL;BAHÇELİEVLER;KOCASİNAN_MERKEZ MAH.;KOCASİNAN_MERKEZ MAH.NURLU SOKAK NO:182 95668 BAHÇELİEVLER/İSTANBUL
66;"H_AKKOYUNLU ";0EB4E3EB3E94451DBDB8F39D5B28EB00;Habibe;Akkoyunlu;H_AKKOYUNLU @turkcellgy.com;K;1969-10-26;(537) 1933528;(532) 1218417;BURSA;NİLÜFER;ÜÇEVLER MAH.;ÜÇEVLER MAH.19. SOKAK NO:23 85951 NİLÜFER/BURSA
67;F_GURER;5440BB95155548D28B45DD89C5668227;Fatma  zehra;Gürer;F_GURER@turkcellgy.com;K;1952-06-15;(532) 1222044;(531) 1235758;BURDUR;ÇAVDIR;MENEVŞELİK MAH.;MENEVŞELİK MAH.FEVZİ ÇAKMAK CADDESİ SOKAK NO:11 85745 ÇAVDIR/BURDUR
68;O_USTALAR;DF7CCB8B87BF40CCB474B55E9F85E692;Osman;Ustalar;O_USTALAR@turkcellgy.com;E;1959-04-27;(531) 1529735;(534) 1756119;GAZİANTEP;ŞEHİTKAMİL;ATATÜRK MAH.;ATATÜRK MAH.01132 . SOKAK NO:711 92400 ŞEHİTKAMİL/GAZİANTEP
69;"M_AKKOYUNLU ";270FCF013A6A48DE8CAF61016DD5E886;Mihriban;Akkoyunlu;M_AKKOYUNLU @turkcellgy.com;K;1976-06-26;(530) 2127975;(534) 1972943;KONYA;ÇUMRA;OKÇU-MERKEZ MAH.;OKÇU-MERKEZ MAH.AKÇAKOCA SOKAK NO:313 100988 ÇUMRA/KONYA
70;M_DAGDELEN;E8EE8DB6A6264DDEBCCA514981E498CC;Metin;Dağdelen;M_DAGDELEN@turkcellgy.com;E;1988-08-31;(532) 1907717;(531) 1857921;KOCAELİ;KANDIRA;ÇARŞI MAH.;ÇARŞI MAH.KIRÇİÇEĞİ SOKAK NO:142 100257 KANDIRA/KOCAELİ
71;"M_NERGIS ";38F5EF1561DF4599821FB01077CB4F85;Meryem;Nergis;M_NERGIS @turkcellgy.com;K;1994-11-10;(535) 1663063;(533) 1922393;AFYONKARAHİSAR;İSCEHİSAR;MEDRESE MAH.;MEDRESE MAH.SIRÇALIK SOKAK NO:592 79714 İSCEHİSAR/AFYONKARAHİSAR
72;S_HALICI;29FBA9E74148427AB6CA3C5D5A5474A4;Şahin;Halıcı;S_HALICI@turkcellgy.com;E;1980-07-24;(535) 1274232;(536) 1360331;MARDİN;KIZILTEPE;DİKMEN-TEPEBAŞI MAH.;DİKMEN-TEPEBAŞI MAH.HORON KÜME EVLERİ SOKAK NO:257 104797 KIZILTEPE/MARDİN
73;M_POCAN;720857488E0B4CF9946EB39DB44B0989;Muzaffer;Poçan;M_POCAN@turkcellgy.com;E;1972-04-11;(532) 1850218;(537) 2299481;ANKARA;MAMAK;KAZIM ORBAY MAH.;KAZIM ORBAY MAH.445/3 SOKAK NO:206 81159 MAMAK/ANKARA
74;B_TUGAL;FEBC35F80BA744B5B577638F2ED0AEC5;Burcu;Tuğal;B_TUGAL@turkcellgy.com;K;1987-03-02;(533) 1596427;(537) 1705320;ŞIRNAK;ULUDERE;HİLAL-GÜNEŞLİ MAH.;HİLAL-GÜNEŞLİ MAH.NERGİZ SOKAK NO:503 116777 ULUDERE/ŞIRNAK
75;"M_ALTINKOPRU ";7DF2E93BF42F4DBBBE2C2D15D9ACE332;Mahir;Altınköprü;M_ALTINKOPRU @turkcellgy.com;E;1966-08-09;(533) 1817766;(531) 1984233;MERSİN;YENİŞEHİR;AFETEVLER MAH.;AFETEVLER MAH.31105. SOKAK NO:150 119735 YENİŞEHİR/MERSİN
76;E_ALYANAK;BA881E721E01457EA1998F0B8B851680;Erol;Alyanak;E_ALYANAK@turkcellgy.com;E;1993-12-30;(531) 1786049;(532) 2178573;ŞANLIURFA;HALFETİ;SİYAHGÜL MAH.;SİYAHGÜL MAH.10. SOKAK NO:297 113138 HALFETİ/ŞANLIURFA
77;C_SUNAY;1D04A44E185D423AB472A1160F43A360;Caner;Sunay;C_SUNAY@turkcellgy.com;E;1972-02-25;(536) 1138958;(537) 1881997;KONYA;MERAM;HAVZAN MAH.;HAVZAN MAH.UMURPAŞA SOKAK NO:281 100546 MERAM/KONYA
78;K_BILGEN;49C4E06F944E429EA7A219F0C41C01CD;Kayra;Bilgen;K_BILGEN@turkcellgy.com;E;1967-11-12;(535) 1265013;(531) 1891549;ANKARA;PURSAKLAR;MERKEZ MAH.;MERKEZ MAH.ZERDALİ SOKAK NO:833 118945 PURSAKLAR/ANKARA
79;D_AKSEL;6B56BF6988924927A5987FAADC800BF0;Duru;Aksel;D_AKSEL@turkcellgy.com;K;1965-04-26;(536) 1262143;(534) 1616249;MANİSA;ALAŞEHİR;ULUDERBENT-KÖPRÜBAŞI MAH.;ULUDERBENT-KÖPRÜBAŞI MAH.DERE SOKAK NO:405 103299 ALAŞEHİR/MANİSA
80;E_OZCELIK;3C293B435EB84083A55DB194A9887532;Ercan;Özçelik;E_OZCELIK@turkcellgy.com;E;1994-11-30;(537) 2184266;(532) 2271571;DİYARBAKIR;ÇÜNGÜŞ;YAYGINKONAK KÖYÜ;YAYGINKONAK KÖYÜ MAH.KÖYÜN KENDİSİ SOKAK NO:192 89513 ÇÜNGÜŞ/DİYARBAKIR
81;E_TAZEGUL;6EF2DA3D3F4F4C18993725BF5699D041;Eda;Tazegül;E_TAZEGUL@turkcellgy.com;K;1969-05-01;(532) 1960400;(535) 1795993;SAMSUN;ATAKUM;KÖRFEZ MAH.;KÖRFEZ MAH.22.SOKAK SOKAK NO:853 119768 ATAKUM/SAMSUN
